GN	Protein Accession #	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
Stxbp1	sp|O08599|STXB1_MOUSE	18349255.0975332	20806246.3395649	19220688.8994765	21767921.2899709	13453274.9493413	15251549.5074921	18973514.0624768	35152433.1542903	34606800.1977782	34298169.4011675
Stxbp1	sp|O08599-2|STXB1_MOUSE	18442892.6642644	20856186.0571524	19234408.6448915	21737568.9676738	13481528.2679794	15304817.1484956	19040163.8171651	34876703.9560726	34528029.2895666	34085456.6270368
Cfl1	sp|P18760|COF1_MOUSE	38868594.5923009	35959225.1652155	38339577.0114556	36214017.3391946	43567057.9871398	41050549.3555939	36325587.5781408	32853119.1745665	33801472.0871932	33122437.9232873
Syn2	sp|Q64332|SYN2_MOUSE	7932849.72515304	8080417.36627417	7707409.99838953	10663470.685245	6683523.21648003	6616017.74108637	9053905.00897495	12853672.664515	12155223.9955734	13418257.2341212
Cox5b	sp|P19536|COX5B_MOUSE	9425667.14267771	10222465.2386659	8599225.63721678	9822063.4437077	8053396.05223615	8132108.60448825	9048697.60169442	13109584.5098268	12152461.010104	12398971.0724065
Ncald	sp|Q91X97|NCALD_MOUSE	10668645.8914597	10244495.4302045	11316758.8305471	12350686.9110279	10087486.120266	10504215.6282693	11347647.7714023	14943665.7510428	15079046.8079978	15434752.3163663
Slc25a5	sp|P51881|ADT2_MOUSE	71667898.3064634	76586448.7235367	65849812.85818	70527149.6493658	66513444.9314224	69554332.6263846	72253136.1319814	90954589.1859116	95586689.0898655	88425994.4529721
Basp1	sp|Q91XV3|BASP1_MOUSE	39295319.1683324	43755268.9974957	44340838.6523473	51386427.1592064	35546248.8222357	37285586.5230864	43850692.9077894	77477424.961704	77438832.9792937	84813147.3987357
Rnf185	sp|Q91YT2|RN185_MOUSE	290375.713636012	287170.760037723	300155.546865825	281634.49777155	397907.287413649	378630.124314341	317835.998715684	220461.252374579	222719.470902126	229873.236445046
Pkm	sp|P52480|KPYM_MOUSE	42781822.8354206	41691501.5301137	40543965.2975197	42313506.4067825	41687365.9258326	40380520.2300942	42877185.9427249	43493766.0862593	45056975.2470861	44078481.5228346
Pkm	sp|P52480-2|KPYM_MOUSE	42073491.8463301	41176675.3784926	39795539.4392639	42804931.8562794	38856434.4652365	38554015.3187717	41227401.7332039	45946230.747265	47655002.6876892	46166013.9680507
Atp6v1a	sp|P50516|VATA_MOUSE	18825665.9212811	18893970.7718686	18895816.6341467	21444573.4650731	15794756.6882163	15902333.071805	19269376.8448744	27345535.5970707	26772229.1002214	28065001.7649811
Atp6v1a	tr|D3YZ23|D3YZ23_MOUSE	745093.550761748	728275.006268067	727880.913179756	706492.996142883	643765.138495231	616223.095551314	733815.475297683	846546.859805655	894948.78194725	894032.168738048
Kxd1	sp|Q80XH1|KXDL1_MOUSE	166881.810199591	166941.820081085	173112.054419437	162597.272288362	175292.169979509	171123.353061259	180125.899161614	160366.733075417	151728.691706765	164722.184244833
Kxd1	tr|G3X9Z9|G3X9Z9_MOUSE	166881.810199591	166941.820081085	173112.054419437	162597.272288362	175292.169979509	171123.353061259	180125.899161614	160366.733075417	151728.691706765	164722.184244833
Csl	tr|Q80X68|Q80X68_MOUSE	12753619.9905237	12723436.2496521	12290413.2552736	13474021.5532083	12312427.8145014	12580413.561837	13351385.2953485	15707676.9725699	15553186.5171336	15585822.8818773
Glud1	sp|P26443|DHE3_MOUSE	14575435.7199191	14350671.6795107	13352748.2089548	14293312.3829131	14292236.0944379	14895272.7097924	15310911.4063589	14568964.3727123	14125145.1959616	14961539.8452022
Glud1	tr|F7CFA5|F7CFA5_MOUSE	4619531.24233004	4446578.4161287	4346646.48480336	4465770.34498375	4744082.88654209	4640607.52728522	4966508.01201905	4544388.43210538	4448435.74378567	4649908.6698355
Pgam1	sp|Q9DBJ1|PGAM1_MOUSE	8294612.68822904	8273430.18496152	8465499.08911687	8830051.01985643	7574076.28511809	7815248.60717349	8189109.01761288	10158426.8918086	10125398.7858369	10114804.1182066
Gm20390	tr|E9PZF0|E9PZF0_MOUSE	27661170.5133717	26985436.3024463	26798458.9068583	26440274.9379248	27258463.9898731	27209775.914612	25424594.3025593	24531408.1223021	24200721.5940334	24987399.220594
Tpi1	sp|P17751|TPIS_MOUSE	36215932.9526684	35400003.3517145	33431000.7799852	36850637.5933453	29040278.7346369	29235084.615914	35348728.3780326	45620534.5692047	45020651.5683956	45418761.9917799
Gstp1	sp|P19157|GSTP1_MOUSE	29077057.2878173	27895891.884639	31988992.0003803	26806830.1016623	25130612.1629895	23931488.2186405	26515549.6748105	32623720.3850915	28571852.3601434	33890086.2923793
Ina	sp|P46660|AINX_MOUSE	62926244.57478	48190725.0817907	44838739.6516218	35037621.6062129	22970696.9635049	23062506.60249	30928030.3610947	48774867.5636707	52114401.657202	46387336.0851
Mtco2	sp|P00405|COX2_MOUSE	12471332.7262787	13455386.282508	11714734.2411109	13333836.1410875	9817405.77122743	10437150.1513214	11965809.4023793	18506147.4550627	17839756.0071482	16831170.6148462
Rps15a	sp|P62245|RS15A_MOUSE	7248427.05401131	6591884.23989552	7398044.47144501	7160733.00627189	8115874.59820529	8346650.2042891	7134867.27366055	5207579.64294181	5180497.16896701	5209793.7318813
Rab1	tr|Q5SW88|Q5SW88_MOUSE	36102238.1807771	38112882.0672388	37799948.8446819	36841238.1730416	34509611.3258418	35757501.3914865	36850445.2759792	39142439.9646233	39627914.5278933	40317598.2051759
Rab2a	sp|P53994|RAB2A_MOUSE	3540696.15757018	3592933.8880609	3489446.68329421	3661892.93474363	3241671.51352834	3327958.01374686	3402136.22942807	4026087.72501274	3995103.73565731	4035566.07477133
Homer3	sp|Q99JP6|HOME3_MOUSE	755031.389220326	557354.054106223	503907.036031321	476408.654640951	481721.257609588	415791.379746928	539322.144515692	193227.400223725	211205.467601602	216509.753331983
Homer3	sp|Q99JP6-2|HOME3_MOUSE	755031.389220326	557354.054106223	503907.036031321	476408.654640951	481721.257609588	415791.379746928	539322.144515692	193227.400223725	211205.467601602	216509.753331983
Ywhaq	sp|P68254|1433T_MOUSE	77696178.3983483	77104541.6492165	79635670.6484839	79832767.3526673	70456223.0043934	67236780.887869	75512854.0748224	93779581.6975675	95130414.048205	95680982.2467799
Cplx1	sp|P63040|CPLX1_MOUSE	5601227.31165251	5709463.41857093	5033355.39481627	6084022.99785429	3572750.58404006	3651505.51886312	5548903.30971268	9773980.14033387	9428141.03438289	9159519.02955416
Syt1	sp|P46096|SYT1_MOUSE	11323964.0903683	11651669.3499992	11848417.9265558	15729535.7954867	9831758.79874699	9945926.15083487	13196857.7662574	26407200.5207739	24117475.8614196	25803250.7494063
Syt1	tr|D3Z7R4|D3Z7R4_MOUSE	5839136.1532632	5963883.72624033	5918511.64908642	8396464.6881219	4914463.6113331	4877145.21554681	7090869.66307323	16838492.7522435	15637982.4097325	16627904.1653792
Park7	sp|Q99LX0|PARK7_MOUSE	13346953.565497	12531589.5355081	12603820.4742204	12397721.0440101	13131626.9722126	12509753.5375679	13098791.8353894	13245914.6820742	13558476.8578582	13573968.9565257
Atp1a2	sp|Q6PIE5|AT1A2_MOUSE	43685682.4695347	43140255.4915462	37629952.798299	41524652.9733227	33604887.5359237	36514422.52029	48552375.9579892	56491634.8708587	56126375.8648122	55868677.7274248
Gnao1	sp|P18872|GNAO_MOUSE	18965406.7037874	20751464.2461465	19951447.72261	24749621.1127808	15351401.3762384	16317975.0654229	18760302.1207577	36534460.1076499	34191332.2689342	35089619.4626785
Gnao1	sp|P18872-2|GNAO_MOUSE	19194115.4500342	20907656.8549553	20165060.2880491	24613449.3122918	15574114.7832652	16468760.7041503	18941178.4660968	35838050.1609323	33713134.7952174	34430354.9480443
Slc1a2	sp|P43006|EAA2_MOUSE	19192799.7899444	18315694.0911556	19177218.6942586	27119580.0264736	20105843.1254346	23114414.2493983	25622102.1455635	52377969.3620027	49150634.165371	48932197.8541366
Slc1a2	tr|F6ZRK3|F6ZRK3_MOUSE	5467054.18354589	5089529.81117838	5212225.10581325	7448588.19245894	5759004.85386058	6513186.24543053	7553031.34111613	15110433.8842449	14230587.3250317	13984465.8288272
H2afz	sp|P0C0S6|H2AZ_MOUSE	76894808.354357	63481335.4488084	66221371.5278012	67572799.8063029	108771511.057944	119683956.659646	85342072.3364439	42541173.6423597	44142265.6671125	43243174.9679537
Slc25a4	sp|P48962|ADT1_MOUSE	74089845.2701254	77619651.3482832	67083784.5799092	74200200.1073918	63986305.050707	66012881.6165432	74237585.861133	100791957.114942	105071907.11094	98568115.6191168
Atp6v1b2	sp|P62814|VATB2_MOUSE	7075790.95769019	7133119.50306503	6955858.30533609	7943980.18213263	6051287.40330562	6057745.66041137	7059316.66920876	9835054.4526994	9519237.45167192	9753931.22346723
Atp5o	sp|Q9DB20|ATPO_MOUSE	27535985.0304388	23170089.9361119	23988472.3421289	25865535.1600219	24638758.3528813	24118141.2599023	25248891.1603548	30185095.4160092	30829874.1948107	29339161.106443
Ppp3r1	sp|Q63810|CANB1_MOUSE	11290576.8792789	11182042.9916237	11602245.7188094	14303263.0721593	9715320.31831133	9450762.64585629	12009038.335514	21531651.7033187	19998319.1778747	19339589.1148706
Sirt2	sp|Q8VDQ8|SIR2_MOUSE	27917904.9731402	25304923.6546296	26753541.550065	22168812.9745348	12828471.9462569	13641979.3570312	18723324.7347274	22855059.7058699	26407926.0299884	21025503.6079687
Rab3a	sp|P63011|RAB3A_MOUSE	11003710.6207525	11396063.4026723	11323446.2148807	14433184.0922291	7993235.35197352	8359000.68132243	12480531.4356728	20754131.2096653	19989405.2439002	20639837.9882437
Vamp2	sp|P63044|VAMP2_MOUSE	4256221.30406091	4463957.86687181	4413708.38218381	5470924.28603335	3643336.81000113	3787741.02263888	4756198.90815616	7590563.90037471	7247563.72430522	7574817.73449558
Tpm3	sp|P21107|TPM3_MOUSE	47239995.0766105	46960175.4609735	45298439.2905185	46104406.0668222	55724070.1528867	51807445.4663697	46546542.1494761	48040390.1834333	49807568.8093256	49960638.7930594
Tpm3	sp|P21107-2|TPM3_MOUSE	47528924.9731865	46474710.8799712	47019255.6730445	47875128.9834652	56989123.1711774	52510690.59366	48540142.9475538	46138621.1393481	46462392.9596344	48988970.6534137
Tpm3	tr|D3Z6I8|D3Z6I8_MOUSE	47156525.3771016	46974625.9208598	46031435.5226048	47165984.9439519	54587149.5035392	50907251.2647704	46771013.3378293	47970448.1067071	49676995.9062302	51097397.3456395
Sept2	sp|P42208|SEPT2_MOUSE	8643213.04753399	7987437.1265881	8709651.36117898	8483241.83566853	11092271.982071	11013129.7500749	9976821.19074211	6780600.89483586	6775195.8110819	6838075.44684786
Eif4a1	sp|P60843|IF4A1_MOUSE	7367287.08199746	7421136.07800359	7498529.4285621	7229906.26096422	7988461.68623132	8332669.45147446	6965529.45729612	4869931.10165096	4990563.22514088	4992270.99852421
Hsp90ab1	sp|P11499|HS90B_MOUSE	49122942.8029609	48919303.6685977	51073785.2739587	50497777.524538	51345072.1407695	51789852.3911743	49441769.6306701	33078394.36915	34279711.0813239	36080200.7518458
Got2	sp|P05202|AATM_MOUSE	16773579.7997636	16791045.8648596	17059640.9461172	20290927.4819	15178206.1653881	15462301.9521934	18168048.230879	28820154.8419567	28452624.1051001	26115935.3258309
Hnrnpa1	sp|P49312|ROA1_MOUSE	2416421.33325083	2439611.24745101	2436521.22699497	2397304.95535771	2839920.78588978	2860671.65360978	2158588.40096165	1614657.98898132	1654619.40572002	1734977.35366381
Hnrnpa1	tr|Q5EBP8|Q5EBP8_MOUSE	2416421.33325083	2439611.24745101	2436521.22699497	2397304.95535771	2839920.78588978	2860671.65360978	2158588.40096165	1614657.98898132	1654619.40572002	1734977.35366381
Rpl23a	sp|P62751|RL23A_MOUSE	6119469.83372427	6208868.5918469	6326404.31315808	5766004.05755004	6621164.73298098	7105911.44198022	5882532.3991882	3838801.44916475	3714429.49572518	3803240.66928644
Rpl23	sp|P62830|RL23_MOUSE	8082489.17969512	7930744.78774014	8503859.79619198	7510217.73112023	8993830.1814696	9081277.50350625	7698647.17853102	5373049.86610447	5251076.68347015	5440719.86501664
Hsp90b1	sp|P08113|ENPL_MOUSE	16719747.0402186	16625106.2274936	19737652.8137992	16632929.886592	19992826.597621	20381176.4111231	23788848.4318104	10266278.7059259	10472064.175436	10690329.8958145
Hpca	sp|P84075|HPCA_MOUSE	11529651.2586507	10470446.5766201	11268563.642874	12180608.7927718	9782632.18054032	8621263.46843814	11447957.0272804	15971655.280216	17473045.0424482	14884605.9818692
Add3	sp|Q9QYB5|ADDG_MOUSE	1938894.87393668	1902168.35088243	2025321.00257451	2041016.2044885	2103396.85831442	2185183.68674021	2169938.36666343	1950638.67864416	2049592.350181	2098404.88463062
Add3	sp|Q9QYB5-2|ADDG_MOUSE	1947325.56757504	1900169.36539638	2033565.82132516	2035143.267821	2132293.10485403	2206696.4624573	2182358.73636393	1934956.69139936	2033265.1064274	2129172.35015587
Dlst	sp|Q9D2G2|ODO2_MOUSE	6733752.3345812	6575060.95189135	5994478.86256058	6359467.40795493	6393358.09342953	5872923.35836208	6837826.66507523	8404841.77604315	8524956.91798612	8240606.81191702
Art3	sp|Q8R2G4|NAR3_MOUSE	81052.2173190278	68751.3339806912	86143.6292910201	69610.1692656473	86931.0684937678	92975.3862259953	95424.5723102484	59571.455231384	53731.6435123576	52207.4227865239
Ywhaz	sp|P63101|1433Z_MOUSE	72687585.9063306	73523942.6661458	75072608.9185503	78564563.6906475	68703666.7237848	64766508.0575885	75423531.3342562	103093516.1474	103009718.601749	103138714.773228
Gstm1	sp|P10649|GSTM1_MOUSE	53253178.7516752	49503804.0790397	44729103.0753037	46614525.6233375	50468507.3828298	49091859.9934215	47959961.7525144	48997062.7979781	50071069.2519146	53294633.8450475
Dpysl3	sp|Q62188|DPYL3_MOUSE	22146552.2706806	21903923.6578279	22305201.6567711	23361688.5183892	18061982.603248	17995372.2316796	20295475.2007619	23300179.5966695	23041464.1458978	25449797.6490957
Dpysl3	tr|E9PWE8|E9PWE8_MOUSE	22220203.9798152	21938060.7391232	22411699.7385282	23383867.369029	18253015.4040885	18193035.7257169	20402889.0926009	23000250.8841026	22826249.1048728	25162667.659461
Hsp90aa1	sp|P07901|HS90A_MOUSE	45922833.8546332	46077133.3150954	45830172.3572648	47206270.8871019	42998770.1833137	43599049.122354	45406772.3868367	36884653.8484824	37206322.4330528	40381825.9677834
Pdhb	sp|Q9D051|ODPB_MOUSE	20797896.2824254	20588476.202258	19167614.6618452	21626247.2908736	17931738.8355455	17525574.0243258	20985377.5344924	29993149.1798759	28339225.0196864	29145790.7111535
Ywhah	sp|P68510|1433F_MOUSE	74919297.8403808	72385898.6380477	75051669.4571274	78776019.8673633	69051821.5880089	63905802.8038512	76596274.9809446	102264195.594758	103356358.969891	102168817.539053
Rpl10a	sp|P53026|RL10A_MOUSE	7420954.26563343	7310141.53217679	7776528.35320355	7173096.55266533	8591146.0164995	8891328.16973418	7292296.2852593	4742017.20609866	4682104.321819	4739267.61920923
Rpl10a	tr|Q5XJF6|Q5XJF6_MOUSE	7446525.83374482	7347084.22402407	7813106.37075627	7224693.76266687	8613920.99625059	8950300.68330166	7314015.61012219	4753727.09402618	4662331.55320174	4762134.84478427
Cisd1	sp|Q91WS0|CISD1_MOUSE	4324633.9145776	4648284.83710758	3942146.90256458	4389198.14231485	3367968.32440585	3503402.25781693	4197041.81017768	6055050.32393837	5895858.17302635	5919694.86967227
Rab11b	sp|P46638|RB11B_MOUSE	9481035.58245217	9860043.03877172	9987560.26074388	9803307.57743185	9756436.61068429	10156394.1253307	9985949.15312484	9898405.95166211	9333759.82527172	9660788.02899123
Mif	sp|P34884|MIF_MOUSE	227239.630130284	230437.769269338	233656.974014245	236288.290338844	205207.878773381	203662.030290907	203039.885685548	227801.856737673	231276.290928588	237845.810623949
Ldha	sp|P06151|LDHA_MOUSE	30651118.4403667	31540847.1885942	34755953.3645949	39157631.8495436	31622196.0662982	36429914.788281	33386433.8021043	36916866.6905477	35082107.3949518	37203861.6889355
Hnrnpk	sp|P61979|HNRPK_MOUSE	20065716.3245769	20410133.2273995	20341961.7092043	20200120.4377836	26589442.9171678	26896117.6088688	20354475.1059429	14990796.2422244	15000757.0490752	15508600.1726489
Hnrnpk	tr|Q8BT23|Q8BT23_MOUSE	9116070.34514747	9457290.93942254	9043800.21540363	8897745.9015605	12321063.1726962	12630580.5125071	9056992.86327592	6385755.37806305	6497345.8386737	6648318.68053809
Hnrnpk	tr|H3BJS9|H3BJS9_MOUSE	2624860.33783303	2759298.82009082	2635597.53908983	3094074.98614104	3418389.49104472	3560578.64775558	2571981.96681547	2198572.72962805	2032033.35863549	2172387.59390979
Uqcrfs1	sp|Q9CR68|UCRI_MOUSE	4079398.31754019	4234578.12247974	3863615.40621582	4067755.32247214	3515036.99618491	3454401.49574	4146159.76500738	5259391.03491484	5654996.99366762	5480658.6438313
Nutf2	sp|P61971|NTF2_MOUSE	2131002.88758012	2099688.97726909	2065656.80932269	2118714.62727462	2154317.00365105	2103147.2397111	2019770.27529455	1939761.04498058	1902291.93845078	1910247.74728551
Stx1b	sp|P61264|STX1B_MOUSE	10059271.1475166	11104008.1683962	9681812.95870456	10777882.2970482	7051236.77453153	7488166.49765338	9982062.54352081	15472807.7553021	15657897.4938971	15806012.7589959
Pfn2	sp|Q9JJV2|PROF2_MOUSE	4670296.43689271	4514195.94164062	4375271.80160961	4855866.91699421	3764480.97451004	3399830.93724253	4431130.72279347	5730835.9587935	5728660.55484808	5831513.76019794
Rab11a	sp|P62492|RB11A_MOUSE	9515391.4728939	9912905.66459479	9984166.38879563	9760908.52458978	9833081.96472862	10237952.3506539	9996733.11645918	9773515.76090795	9242232.5890447	9598543.65545171
Cox4i1	sp|P19783|COX41_MOUSE	26866001.4132702	29630195.3676144	27696874.0384572	32106298.3608038	21456725.2596584	25401282.190265	25478541.9928004	40826976.1753125	37437781.2299109	37532150.766923
Cox4i1	tr|M0QWX7|M0QWX7_MOUSE	6677304.04346397	7348709.65296185	6358255.5711104	6780760.42067549	5378371.5330697	5698519.6843679	6380116.14464793	8958866.46546787	8520666.91567051	8622512.22914036
Arpc2	sp|Q9CVB6|ARPC2_MOUSE	4430474.04746853	4005903.14289172	4405695.33050048	4781623.44791852	4384854.55337564	4144953.78539758	4498921.21167943	4958612.65755827	4862083.22301717	4841640.49988196
Gpi	sp|P06745|G6PI_MOUSE	39300194.1344157	39394998.618242	39424807.2505622	41848943.4780048	36104583.2098957	37063422.2187538	41674422.7122928	49931438.9524068	47898840.1312415	50282939.6834158
Gnb1	sp|P62874|GBB1_MOUSE	36301189.319863	40536686.515801	39181069.3340786	44281944.6962648	33986206.5866031	36048769.8401854	38371535.9815944	55654052.3729284	57611981.0673083	55645291.4660141
Cox5a	sp|P12787|COX5A_MOUSE	19376992.2796631	20032784.9074612	17506744.6251263	18927237.1779581	15273193.9545408	15167103.6925204	18375895.027284	26415068.0258158	26140230.4022808	24685607.9726544
Sh3gl2	sp|Q62420|SH3G2_MOUSE	5897770.39097602	5996948.79480392	5887955.97291955	6949211.52566016	4290394.29500798	4416873.31771364	6208630.28818779	10729988.6360508	10199268.3778742	10469288.8397287
Dnm1	sp|P39053|DYN1_MOUSE	27692952.4419737	26467931.577241	25685357.8196697	32788474.2854872	21130016.8038864	20722037.2926554	27106449.2679176	49374404.0653347	46548711.1493541	50200601.2076316
Dnm1	sp|P39053-2|DYN1_MOUSE	27698957.8710293	26472557.1897686	25679314.6806195	32751435.0628538	21150679.5905089	20723664.658714	27092978.229777	49361881.0989784	46557854.5251101	50225497.7855662
Dnm1	sp|P39053-3|DYN1_MOUSE	28388693.964809	27064888.7850414	26404162.9924358	33826999.5561601	21735911.3890763	21242610.6923184	27945270.4708422	50800695.6420272	47749076.7099746	51467827.3152129
Dnm1	sp|P39053-4|DYN1_MOUSE	27678177.1534293	26447954.5528144	25688472.5628685	32803195.0258875	21149208.2402096	20722983.528369	27123819.3757789	49349880.2128412	46524541.5172419	50205402.0718892
